Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
31750,93323,109426,13301,36338,35486,12588,16623,66179564,83082,43227,7901,53925305,109781,62949066,17554,58149964,36279,69101552,5602,56610085,14036347
32000,90505,77711,13276,33668,35226,12126,17660,65603371,280051,42849,7871,54930762,55476,64152335,17422,56195032,76217,66903965,5758,59963924,13938233
32250,94150,79576,13380,35799,34453,12484,18511,67166162,116745,44734,8017,55237658,65663,65658410,18520,56715222,40759,74107407,5748,57246093,14152712
32500,93279,102654,13351,34871,35820,10761,15733,66126001,83897,43897,7854,55893910,88594,65563633,17954,54408190,38194,61423657,5627,59594162,15937658
32750,90690,133161,13437,34101,34889,12313,15587,65292489,86279,43628,7858,55976349,49737,66464507,17950,56690762,33731,65030899,14467,61330696,16064846
33000,92254,77602,13188,34244,36743,11055,14950,67356659,82723,45769,7822,55768757,51585,65254161,16649,57824322,1060319,63573060,5653,65685121,14758266
33250,91466,76406,13602,35394,40816,11623,14520,71142061,78585,44180,7820,57012169,80518,68252356,16950,58173118,36518,67742375,5925,62336083,14897551
33500,91384,78964,13548,35300,40634,12609,15167,67932393,84165,43686,7797,57662108,76607,67767883,17761,58042649,36169,71633708,6062,67315616,14966057
33750,92366,78217,13380,33609,37518,11655,14765,67685767,258388,43757,8051,57934395,51676,70211300,18428,57750236,86272,71172865,5762,64543192,14579116
34000,91475,76650,13439,34139,35744,12546,14573,72050106,86277,45001,19161,57909980,49183,66366476,19127,58539099,35768,72998703,5400,68548885,14942259
34250,90459,79526,13428,34662,37636,14650,13665,69427954,91076,45648,7982,59008258,87502,69756804,17801,60584119,35062,68209404,5422,68037201,14933848
34500,92050,82538,13597,34243,38888,13303,15499,68252112,80596,45381,7979,59278452,49712,67675595,17738,58817245,55996,69944987,5956,63015243,16980792
34750,91318,79674,13410,35189,39065,11497,17622,72683787,79053,47075,7963,59984763,51420,69934563,18819,61840761,69826,69392189,5692,65044327,15991029
35000,96855,84516,13304,34551,38370,11906,15711,70594893,84867,47655,7837,61546258,47542,69099337,18572,61940336,61215,71766079,5657,62472070,15151253
35250,96082,142524,13368,33921,35412,11588,16884,72636756,79813,50425,7848,60524226,46875,68791091,18469,59537653,39493,70979952,5682,63721674,15160098
35500,95927,79525,13375,35341,35517,12762,16868,70051932,78473,45230,7890,60448431,45946,69679340,17359,60796155,39201,69595555,5582,63995452,15242143
35750,96126,81268,13221,34374,35837,13407,16176,71320082,128109,47714,7835,60335565,48809,71952237,20243,62436640,37268,71208412,5322,61060371,15324021
36000,97406,80805,13412,35494,35764,12109,16564,75055652,88122,46988,7802,60303766,47249,73069963,18423,61255391,35836,76533653,5598,63077958,15529483
36250,96764,80328,13454,35924,36232,11816,17832,75838750,84529,45380,7876,62373879,46305,70331677,18389,65785973,36058,77356987,5591,66678595,15463123
36500,94944,82679,13509,34804,35883,13434,16961,75160083,77692,47388,7865,62274020,42502,79576652,18118,66732122,51894,82870394,5714,63975196,16049467
36750,210188,82235,13348,34736,35321,12071,16708,75894225,82645,47929,7827,62154365,44547,73085350,18165,62174174,37336,84912478,5826,66534057,16181020
37000,130954,83645,13444,35872,34925,12151,17513,72890041,79577,45627,7846,62219617,43178,73055912,18757,62775779,34943,75375833,5734,67662918,16660078
37250,116907,82516,13295,34183,38056,12485,18114,75525341,77092,47119,7904,64480239,46181,73542222,18024,63577998,34303,89852701,5911,71186920,16864971
37500,105772,86989,13394,34281,36027,14702,18116,81309884,84182,49662,8028,63671093,48244,73749619,17995,67653478,60542,78192845,5544,70436377,16332324
37750,130697,89826,13192,33728,34376,13671,31713,79064409,77483,46909,8093,63765176,48989,79915942,18281,67114634,35495,88304456,5597,69995429,16533803
38000,124590,88489,13285,35301,36665,12490,14377,77423985,81422,48382,42177,65880413,48443,75744228,18340,67383095,49403,78834603,5514,70765554,17069516
38250,104792,126618,13339,34471,160653,11039,14423,81222423,79539,46624,7932,64997715,45855,77248902,17699,66676804,40559,75585109,5667,70478583,17632948
38500,103248,84381,13306,34152,38757,12602,15046,80513636,79304,48487,7871,66082925,42782,75507344,19456,67462702,40871,74286994,5926,68684029,17398742
38750,101410,88901,13315,35751,36560,11634,15611,80120005,76869,49335,7839,66084250,43166,78561244,18577,68484880,39955,78587855,5404,74835000,18004348
39000,102784,88099,13318,32861,35858,12529,15281,80304586,78410,52749,7876,65820048,43507,79890766,18296,67005250,40434,84754504,5763,73351013,17436111
